"city","population","MCO","lat","lon","District","state","province","country"
"Westminster",110945,722,39.8366528,-105.0372046,3,"CO","Colorado","US"
"Fort Collins",148612,722,40.5871782,-105.0770113,3,"CO","Colorado","US"
"Tempe",180587,723,33.4255117,-111.940016,15,"AZ","Arizona","US"
"Mesa",504258,723,33.4151005,-111.831455,15,"AZ","Arizona","US"
"Santa Fe",87505,724,35.6876096,-105.938456,3,"NM","New Mexico","US"
"Rio Rancho",110660,724,35.2702448,-106.6329806,3,"NM","New Mexico","US"
"Albuquerque",564559,724,35.0841034,-106.650985,3,"NM","New Mexico","US"
"Bismarck",58333,725,46.808327,-100.783739,4,"ND","North Dakota","US"
"Rapid City",74703,725,44.0806041,-103.228023,4,"SD","South Dakota","US"
"Fargo",90056,725,46.877229,-96.789821,4,"ND","North Dakota","US"
"Sioux Falls",192517,725,43.5476008,-96.7293629,4,"SD","South Dakota","US"
"Lakeville",53074,726,44.650051,-93.2432791,4,"MN","Minnesota","US"
"Eden Prairie",60797,726,44.8546856,-93.470786,4,"MN","Minnesota","US"
